,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
44,0,145,jaguar,four,sedan,rwd,front,113.0000,0.9592,0.9667,0.8829,4066,dohc,six,258,mpfi,3.6300,4.1700,8.1000,176,4750.0000,15,12.3684,32250.0000,15.6667,Medium,0,1,1,0
45,0,122,jaguar,four,sedan,rwd,front,113.0000,0.9592,0.9667,0.8829,4066,dohc,six,258,mpfi,3.6300,4.1700,8.1000,176,4750.0000,15,12.3684,35550.0000,15.6667,Medium,0,1,1,0
46,0,122,jaguar,two,sedan,rwd,front,102.0000,0.9212,0.9806,0.7993,3950,ohcv,twelve,326,mpfi,3.5400,2.7600,11.5000,262,5000.0000,13,13.8235,36000.0000,18.0769,High,0,1,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1000,0.7645,0.8917,0.9047,1890,ohc,four,91,2bbl,3.0300,3.1500,9.0000,68,5000.0000,30,7.5806,5195.0000,7.8333,Low,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1000,0.7645,0.8917,0.9047,1900,ohc,four,91,2bbl,3.0300,3.1500,9.0000,68,5000.0000,31,6.1842,6095.0000,7.5806,Low,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1000,0.7645,0.8917,0.9047,1905,ohc,four,91,2bbl,3.0300,3.1500,9.0000,68,5000.0000,31,6.1842,6795.0000,7.5806,Low,0,1,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1000,0.8015,0.8917,0.9047,1945,ohc,four,91,2bbl,3.0300,3.1500,9.0000,68,5000.0000,31,6.1842,6695.0000,7.5806,Low,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1000,0.8015,0.8917,0.9047,1950,ohc,four,91,2bbl,3.0800,3.1500,9.0000,68,5000.0000,31,6.1842,7395.0000,7.5806,Low,0,1,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3000,0.8121,0.9125,0.8294,2380,rotor,two,70,4bbl,3.3298,3.2554,9.4000,101,6000.0000,17,10.2174,10945.0000,13.8235,Low,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3000,0.8121,0.9125,0.8294,2380,rotor,two,70,4bbl,3.3298,3.2554,9.4000,101,6000.0000,17,10.2174,11845.0000,13.8235,Low,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3000,0.8121,0.9125,0.8294,2385,rotor,two,70,4bbl,3.3298,3.2554,9.4000,101,6000.0000,17,10.2174,13645.0000,13.8235,Low,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3000,0.8121,0.9125,0.8294,2500,rotor,two,80,mpfi,3.3298,3.2554,9.4000,135,6000.0000,16,10.2174,15645.0000,14.6875,Medium,0,1,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8000,0.8544,0.9236,0.8980,2385,ohc,four,122,2bbl,3.3900,3.3900,8.6000,84,4800.0000,26,7.3438,8845.0000,9.0385,Low,0,1,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8000,0.8544,0.9236,0.9281,2410,ohc,four,122,2bbl,3.3900,3.3900,8.6000,84,4800.0000,26,7.3438,8495.0000,9.0385,Low,0,1,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8000,0.8544,0.9236,0.8980,2385,ohc,four,122,2bbl,3.3900,3.3900,8.6000,84,4800.0000,26,7.3438,10595.0000,9.0385,Low,0,1,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8000,0.8544,0.9236,0.9281,2410,ohc,four,122,2bbl,3.3900,3.3900,8.6000,84,4800.0000,26,7.3438,10245.0000,9.0385,Low,0,1,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8000,0.8544,0.9236,0.9281,2443,ohc,four,122,idi,3.3900,3.3900,22.7000,64,4650.0000,36,5.5952,10795.0000,6.5278,Low,1,0,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8000,0.8544,0.9236,0.9281,2425,ohc,four,122,2bbl,3.3900,3.3900,8.6000,84,4800.0000,26,7.3438,11245.0000,9.0385,Low,0,1,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9000,0.8409,0.9181,0.9097,2670,ohc,four,140,mpfi,3.7600,3.1600,8.0000,120,5000.0000,19,8.7037,18280.0000,12.3684,Medium,0,1,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9000,0.8409,0.9181,0.9097,2700,ohc,four,134,idi,3.4300,3.6400,22.0000,72,4200.0000,31,6.0256,18344.0000,7.5806,Low,1,0,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0000,0.9173,0.9764,0.9448,3515,ohc,five,183,idi,3.5800,3.6400,21.5000,123,4350.0000,22,9.4000,25552.0000,10.6818,Medium,1,0,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0000,0.9173,0.9764,0.9816,3750,ohc,five,183,idi,3.5800,3.6400,21.5000,123,4350.0000,22,9.4000,28248.0000,10.6818,Medium,1,0,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7000,0.9010,0.9764,0.9181,3495,ohc,five,183,idi,3.5800,3.6400,21.5000,123,4350.0000,22,9.4000,28176.0000,10.6818,Medium,1,0,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6000,0.9736,0.9958,0.9415,3770,ohc,five,183,idi,3.5800,3.6400,21.5000,123,4350.0000,22,9.4000,31600.0000,10.6818,Medium,1,0,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6000,0.9736,0.9958,0.9448,3740,ohcv,eight,234,mpfi,3.4600,3.1000,8.3000,155,4750.0000,16,13.0556,34184.0000,14.6875,Medium,0,1,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6000,0.8664,0.9792,0.8495,3685,ohcv,eight,234,mpfi,3.4600,3.1000,8.3000,155,4750.0000,16,13.0556,35056.0000,14.6875,Medium,0,1,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9000,1.0000,0.9958,0.9482,3900,ohcv,eight,308,mpfi,3.8000,3.3500,8.0000,184,4500.0000,14,14.6875,40960.0000,16.7857,Medium,0,1,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0000,0.9572,1.0000,0.9264,3715,ohcv,eight,304,mpfi,3.8000,3.3500,8.0000,184,4500.0000,14,14.6875,45400.0000,16.7857,Medium,0,1,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7000,0.8573,0.9444,0.9164,2910,ohc,four,140,mpfi,3.7800,3.1200,8.0000,175,5000.0000,19,9.7917,16503.0000,12.3684,Medium,0,1,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7000,0.7559,0.8944,0.8495,1918,ohc,four,92,2bbl,2.9700,3.2300,9.4000,68,5500.0000,37,5.7317,5389.0000,6.3514,Low,0,1,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7000,0.7559,0.8944,0.8495,1944,ohc,four,92,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6189.0000,7.5806,Low,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7000,0.7559,0.8944,0.8495,2004,ohc,four,92,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6669.0000,7.5806,Low,0,1,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0000,0.7559,0.8861,0.8495,2145,ohc,four,98,spdi,3.0300,3.3900,7.6000,102,5500.0000,24,7.8333,7689.0000,9.7917,Low,0,1,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3000,0.8313,0.9083,0.8261,2370,ohc,four,110,spdi,3.1700,3.4600,7.5000,116,5500.0000,23,7.8333,9959.0000,10.2174,Low,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3000,0.8313,0.9083,0.8261,2328,ohc,four,122,2bbl,3.3500,3.4600,8.5000,88,5000.0000,25,7.3438,8499.0000,9.4000,Low,0,1,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9000,0.8323,0.9208,0.8395,2833,ohc,four,156,spdi,3.5800,3.8600,7.0000,145,5000.0000,19,9.7917,12629.0000,12.3684,Medium,0,1,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9000,0.8323,0.9208,0.8395,2921,ohc,four,156,spdi,3.5900,3.8600,7.0000,145,5000.0000,19,9.7917,14869.0000,12.3684,Medium,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9000,0.8323,0.9208,0.8395,2926,ohc,four,156,spdi,3.5900,3.8600,7.0000,145,5000.0000,19,9.7917,14489.0000,12.3684,Medium,0,1,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3000,0.8284,0.9083,0.8629,2365,ohc,four,122,2bbl,3.3500,3.4600,8.5000,88,5000.0000,25,7.3438,6989.0000,9.4000,Low,0,1,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3000,0.8284,0.9083,0.8629,2405,ohc,four,122,2bbl,3.3500,3.4600,8.5000,88,5000.0000,25,7.3438,8189.0000,9.4000,Low,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3000,0.8284,0.9083,0.8629,2403,ohc,four,110,spdi,3.1700,3.4600,7.5000,116,5500.0000,23,7.8333,9279.0000,10.2174,Low,0,1,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3000,0.8284,0.9083,0.8629,2403,ohc,four,110,spdi,3.1700,3.4600,7.5000,116,5500.0000,23,7.8333,9279.0000,10.2174,Low,0,1,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,1889,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,5499.0000,7.5806,Low,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,2017,ohc,four,103,idi,2.9900,3.4700,21.9000,55,4800.0000,45,4.7000,7099.0000,5.2222,Low,1,0,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,1918,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,6649.0000,7.5806,Low,0,1,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,1938,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,6849.0000,7.5806,Low,0,1,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5000,0.8179,0.8861,0.8946,2024,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,7349.0000,7.5806,Low,0,1,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,1951,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,7299.0000,7.5806,Low,0,1,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5000,0.7958,0.8861,0.8913,2028,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,7799.0000,7.5806,Low,0,1,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5000,0.7943,0.8861,0.9114,1971,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,7499.0000,7.5806,Low,0,1,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5000,0.8179,0.8861,0.8946,2037,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,7999.0000,7.5806,Low,0,1,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1000,0.7804,0.8861,0.8913,2008,ohc,four,97,2bbl,3.1500,3.2900,9.4000,69,5200.0000,31,6.3514,8249.0000,7.5806,Low,0,1,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2000,0.8333,0.9056,0.9147,2324,ohc,four,120,2bbl,3.3300,3.4700,8.5000,97,5200.0000,27,6.9118,8949.0000,8.7037,Low,0,1,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2000,0.8333,0.9056,0.9147,2302,ohc,four,120,2bbl,3.3300,3.4700,8.5000,97,5200.0000,27,6.9118,9549.0000,8.7037,Low,0,1,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4000,0.8731,0.9236,0.9214,3095,ohcv,six,181,mpfi,3.4300,3.2700,9.0000,152,5200.0000,17,10.6818,13499.0000,13.8235,Medium,0,1,1,0
99,0,108,nissan,four,wagon,fwd,front,100.4000,0.8871,0.9236,0.9381,3296,ohcv,six,181,mpfi,3.4300,3.2700,9.0000,152,5200.0000,17,10.6818,14399.0000,13.8235,Medium,0,1,1,0
100,0,108,nissan,four,sedan,fwd,front,100.4000,0.8871,0.9236,0.9214,3060,ohcv,six,181,mpfi,3.4300,3.2700,9.0000,152,5200.0000,19,9.4000,13499.0000,12.3684,Medium,0,1,1,0
101,3,194,nissan,two,hatchback,rwd,front,91.3000,0.8203,0.9431,0.8311,3071,ohcv,six,181,mpfi,3.4300,3.2700,9.0000,160,5200.0000,19,9.4000,17199.0000,12.3684,Medium,0,1,1,0
102,3,194,nissan,two,hatchback,rwd,front,91.3000,0.8203,0.9431,0.8311,3139,ohcv,six,181,mpfi,3.4300,3.2700,7.8000,200,5200.0000,17,10.2174,19699.0000,13.8235,High,0,1,0,1
103,1,231,nissan,two,hatchback,rwd,front,99.2000,0.8578,0.9431,0.8311,3139,ohcv,six,181,mpfi,3.4300,3.2700,9.0000,160,5200.0000,19,9.4000,18399.0000,12.3684,Medium,0,1,1,0
104,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3020,l,four,120,mpfi,3.4600,3.1900,8.4000,97,5000.0000,19,9.7917,11900.0000,12.3684,Low,0,1,1,0
105,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3197,l,four,152,idi,3.7000,3.5200,21.0000,95,4150.0000,28,7.1212,13200.0000,8.3929,Low,1,0,0,1
106,0,122,peugot,four,wagon,rwd,front,114.2000,0.9558,0.9500,0.9816,3230,l,four,120,mpfi,3.4600,3.1900,8.4000,97,5000.0000,19,9.7917,12440.0000,12.3684,Low,0,1,1,0
107,0,122,peugot,four,wagon,rwd,front,114.2000,0.9558,0.9500,0.9816,3430,l,four,152,idi,3.7000,3.5200,21.0000,95,4150.0000,25,9.4000,13860.0000,9.4000,Low,1,0,0,1
108,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3075,l,four,120,mpfi,3.4600,2.1900,8.4000,95,5000.0000,19,9.7917,15580.0000,12.3684,Low,0,1,1,0
109,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3252,l,four,152,idi,3.7000,3.5200,21.0000,95,4150.0000,28,7.1212,16900.0000,8.3929,Low,1,0,0,1
110,0,122,peugot,four,wagon,rwd,front,114.2000,0.9558,0.9500,0.9482,3285,l,four,120,mpfi,3.4600,2.1900,8.4000,95,5000.0000,19,9.7917,16695.0000,12.3684,Low,0,1,1,0
111,0,122,peugot,four,wagon,rwd,front,114.2000,0.9558,0.9500,0.9816,3485,l,four,152,idi,3.7000,3.5200,21.0000,95,4150.0000,25,9.4000,17075.0000,9.4000,Low,1,0,0,1
112,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3075,l,four,120,mpfi,3.4600,3.1900,8.4000,97,5000.0000,19,9.7917,16630.0000,12.3684,Low,0,1,1,0
113,0,161,peugot,four,sedan,rwd,front,107.9000,0.8972,0.9500,0.9482,3252,l,four,152,idi,3.7000,3.5200,21.0000,95,4150.0000,28,7.1212,17950.0000,8.3929,Low,1,0,0,1
114,0,161,peugot,four,sedan,rwd,front,108.0000,0.8972,0.9486,0.9365,3130,l,four,134,mpfi,3.6100,3.2100,7.0000,142,5600.0000,18,9.7917,18150.0000,13.0556,Medium,0,1,0,1
115,1,119,plymouth,two,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8495,1918,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,37,5.7317,5572.0000,6.3514,Low,0,1,1,0
116,1,119,plymouth,two,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8495,2128,ohc,four,98,spdi,3.0300,3.3900,7.6000,102,5500.0000,24,7.8333,7957.0000,9.7917,Low,0,1,0,1
117,1,154,plymouth,four,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8462,1967,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6229.0000,7.5806,Low,0,1,1,0
118,1,154,plymouth,four,sedan,fwd,front,93.7000,0.8039,0.8861,0.8495,1989,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6692.0000,7.5806,Low,0,1,1,0
119,1,154,plymouth,four,sedan,fwd,front,93.7000,0.8039,0.8861,0.8495,2191,ohc,four,98,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,7609.0000,7.5806,Low,0,1,1,0
120,-1,74,plymouth,four,wagon,fwd,front,103.3000,0.8390,0.8972,1.0000,2535,ohc,four,122,2bbl,3.3500,3.4600,8.5000,88,5000.0000,24,7.8333,8921.0000,9.7917,Low,0,1,1,0
121,3,122,plymouth,two,hatchback,rwd,front,95.9000,0.8323,0.9208,0.8395,2818,ohc,four,156,spdi,3.5900,3.8600,7.0000,145,5000.0000,19,9.7917,12764.0000,12.3684,Medium,0,1,0,1
122,3,186,porsche,two,hatchback,rwd,front,94.5000,0.8116,0.9486,0.8395,2778,ohc,four,151,mpfi,3.9400,3.1100,9.5000,143,5500.0000,19,8.7037,22018.0000,12.3684,Medium,0,1,1,0
